Frequency;Channel C
(MHz);(dBu)

0,00000000;-32,25890000
0,00190735;-35,20602000
0,00381470;-42,73619000
0,00572205;-47,27076000
0,00762939;-47,34501000
0,00953674;-47,26433000
0,01144409;-47,12527000
0,01335144;-47,05264000
0,01525879;-47,02663000
0,01716614;-47,08940000
0,01907349;-47,17624000
0,02098083;-47,16646000
0,02288818;-47,23892000
0,02479553;-47,09102000
0,02670288;-47,10251000
0,02861023;-47,11192000
0,03051758;-47,20578000
0,03242493;-46,99656000
0,03433228;-47,17385000
0,03623962;-47,03692000
0,03814697;-46,84357000
0,04005432;-47,09467000
0,04196167;-47,17901000
0,04386902;-47,23027000
0,04577637;-47,38999000
0,04768372;-47,51909000
0,04959106;-47,27561000
0,05149841;-47,25793000
0,05340576;-47,14636000
0,05531311;-47,08712000
0,05722046;-47,26074000
0,05912781;-47,21038000
0,06103516;-47,19175000
0,06294250;-47,35568000
0,06484985;-47,39215000
0,06675720;-47,46758000
0,06866455;-47,35970000
0,07057190;-47,41483000
0,07247925;-47,42433000
0,07438660;-47,22603000
0,07629395;-47,16655000
0,07820129;-47,19782000
0,08010864;-47,34968000
0,08201599;-47,40361000
0,08392334;-47,16196000
0,08583069;-47,25529000
0,08773804;-47,55723000
0,08964539;-47,53496000
0,09155273;-47,17692000
0,09346008;-47,02409000
0,09536743;-46,99018000
0,09727478;-47,24391000
0,09918213;-47,16611000
0,10108948;-47,15115000
0,10299683;-47,05337000
0,10490417;-46,99678000
0,10681152;-47,26648000
0,10871887;-47,18891000
0,11062622;-47,13236000
0,11253357;-47,12616000
0,11444092;-47,34619000
0,11634827;-47,29260000
0,11825562;-46,95208000
0,12016296;-47,14830000
0,12207031;-47,35534000
0,12397766;-47,13422000
0,12588501;-47,18433000
0,12779236;-47,33587000
0,12969971;-47,22957000
0,13160706;-46,99456000
0,13351440;-47,05184000
0,13542175;-47,20747000
0,13732910;-47,14801000
0,13923645;-47,29345000
0,14114380;-47,41260000
0,14305115;-47,35787000
0,14495850;-47,37451000
0,14686584;-47,30920000
0,14877319;-47,22791000
0,15068054;-47,27221000
0,15258789;-47,35983000
0,15449524;-47,41226000
0,15640259;-47,27861000
0,15830994;-47,28417000
0,16021729;-47,41425000
0,16212463;-47,39940000
0,16403198;-47,25795000
0,16593933;-47,52239000
0,16784668;-47,75299000
0,16975403;-47,50201000
0,17166138;-47,45395000
0,17356873;-47,70119000
0,17547607;-47,77354000
0,17738342;-47,55659000
0,17929077;-47,53880000
0,18119812;-47,44819000
0,18310547;-47,26019000
0,18501282;-47,51675000
0,18692017;-47,58036000
0,18882751;-47,83957000
0,19073486;-47,76101000
0,19264221;-47,70941000
0,19454956;-47,60560000
0,19645691;-47,58150000
0,19836426;-47,61182000
0,20027161;-47,68615000
0,20217896;-47,49047000
0,20408630;-47,33979000
0,20599365;-47,50001000
0,20790100;-47,44905000
0,20980835;-47,55999000
0,21171570;-47,64782000
0,21362305;-47,62286000
0,21553040;-47,62157000
0,21743774;-47,61879000
0,21934509;-47,62734000
0,22125244;-47,66663000
0,22315979;-47,88482000
0,22506714;-47,80064000
0,22697449;-47,74004000
0,22888184;-47,85489000
0,23078918;-47,94371000
0,23269653;-47,94091000
0,23460388;-47,75550000
0,23651123;-47,62152000
0,23841858;-47,53573000
0,24032593;-47,60125000
0,24223328;-47,71406000
0,24414063;-47,66278000
0,24604797;-47,73614000
0,24795532;-47,95226000
0,24986267;-48,15307000
0,25177002;-48,23729000
0,25367737;-47,74383000
0,25558472;-47,76696000
0,25749207;-47,52106000
0,25939941;-47,63867000
0,26130676;-48,05559000
0,26321411;-47,87656000
0,26512146;-47,64305000
0,26702881;-47,63631000
0,26893616;-47,79203000
0,27084351;-47,98735000
0,27275085;-47,62307000
0,27465820;-47,57093000
0,27656555;-47,58862000
0,27847290;-47,76377000
0,28038025;-47,68050000
