Time;Channel A;Channel B
(ms);(V);(mV)

-95,40671855;-0,42645790;15,44199000
-95,39855855;-0,42645790;15,04521000
-95,39039855;-0,41855310;15,44199000
-95,38223855;-0,42645790;15,44199000
-95,37407855;-0,41855310;14,64997000
-95,36591855;-0,41855310;15,83723000
-95,35775855;-0,41855310;15,83723000
-95,34959855;-0,41855310;15,44199000
-95,34143855;-0,41855310;15,83723000
-95,33327855;-0,41855310;16,23400000
-95,32511855;-0,41855310;15,83723000
-95,31695855;-0,41855310;15,04521000
-95,30879855;-0,41855310;16,23400000
-95,30063855;-0,41067910;16,62924000
-95,29247855;-0,41067910;15,44199000
-95,28431855;-0,41067910;16,62924000
-95,27615855;-0,41067910;16,62924000
-95,26799855;-0,41067910;16,62924000
-95,25983855;-0,41067910;17,81804000
-95,25167855;-0,41067910;16,62924000
-95,24351855;-0,41067910;16,23400000
-95,23535855;-0,41067910;16,23400000
-95,22719855;-0,41067910;15,83723000
-95,21903855;-0,41067910;16,62924000
-95,21087855;-0,40277440;16,62924000
-95,20271855;-0,40277440;16,23400000
-95,19455855;-0,40277440;17,02602000
-95,18639855;-0,40277440;16,23400000
-95,17823855;-0,41067910;16,62924000
-95,17007855;-0,40277440;16,23400000
-95,16191855;-0,40277440;16,23400000
-95,15375855;-0,40277440;16,62924000
-95,14559855;-0,40277440;16,23400000
-95,13743855;-0,40277440;16,62924000
-95,12927855;-0,39486960;17,02602000
-95,12111855;-0,39486960;16,62924000
-95,11295855;-0,39486960;15,83723000
-95,10479855;-0,39486960;15,04521000
-95,09663855;-0,39486960;15,04521000
-95,08847855;-0,39486960;15,44199000
-95,08031855;-0,39486960;15,44199000
-95,07215855;-0,39486960;14,64997000
-95,06399855;-0,39486960;15,04521000
-95,05583855;-0,39486960;15,04521000
-95,04767855;-0,39486960;14,25320000
-95,03951855;-0,39486960;14,64997000
-95,03135855;-0,39486960;13,85796000
-95,02319855;-0,39486960;13,46118000
-95,01503855;-0,39486960;13,46118000
-95,00687855;-0,38696480;14,25320000
-94,99871855;-0,39486960;13,85796000
-94,99055855;-0,39486960;13,46118000
-94,98239855;-0,38696480;13,46118000
-94,97423855;-0,38696480;13,46118000
-94,96607855;-0,38696480;14,64997000
-94,95791855;-0,38696480;13,85796000
-94,94975855;-0,37909080;12,67070000
-94,94159855;-0,37909080;13,46118000
-94,93343855;-0,37909080;11,48191000
-94,92527855;-0,37909080;11,08667000
-94,91711855;-0,37909080;10,68990000
-94,90895855;-0,37909080;11,08667000
-94,90079855;-0,37909080;10,68990000
-94,89263855;-0,37909080;10,68990000
-94,88447855;-0,37909080;11,08667000
-94,87631855;-0,37909080;10,29466000
-94,86815855;-0,37909080;9,89788300
-94,85999854;-0,37909080;9,10586800
-94,85183854;-0,37909080;7,91861400
-94,84367854;-0,37909080;8,31385200
-94,83551854;-0,37909080;8,71062900
-94,82735854;-0,37909080;8,71062900
-94,81919854;-0,37909080;7,91861400
-94,81103854;-0,37909080;7,91861400
-94,80287854;-0,37118600;7,52183800
-94,79471854;-0,37118600;8,71062900
-94,78655854;-0,37118600;7,12659900
-94,77839854;-0,36328130;4,75055300
-94,77023854;-0,36328130;4,35531500
-94,76207854;-0,37118600;3,56330000
-94,75391854;-0,36328130;4,35531500
-94,74575854;-0,36328130;4,35531500
-94,73759854;-0,36328130;3,56330000
-94,72943854;-0,36328130;4,35531500
-94,72127854;-0,36328130;3,95853800
-94,71311854;-0,36328130;4,35531500
-94,70495854;-0,36328130;3,56330000
-94,69679854;-0,36328130;1,58249200
-94,68863854;-0,36328130;0,39523870
-94,68047854;-0,36328130;0,39523870
-94,67231854;-0,36328130;0,79047730
-94,66415854;-0,36328130;0,39523870
-94,65599854;-0,36328130;0,79047730
-94,64783854;-0,36328130;0,79047730
-94,63967854;-0,35537650;0,79047730
-94,63151854;-0,35537650;0,79047730
-94,62335854;-0,35537650;0,00000000
-94,61519854;-0,35537650;-3,56330000
-94,60703854;-0,35537650;-4,35531500
-94,59887854;-0,35537650;-4,75055300
-94,59071854;-0,35537650;-4,75055300
-94,58255854;-0,35537650;-4,75055300
-94,57439854;-0,35537650;-4,75055300
-94,56623854;-0,35537650;-5,14733000
-94,55807854;-0,34750250;-5,14733000
-94,54991854;-0,34750250;-5,14733000
-94,54175854;-0,34750250;-4,75055300
-94,53359854;-0,34750250;-7,12659900
-94,52543854;-0,34750250;-7,91861400
-94,51727854;-0,34750250;-8,31385200
-94,50911854;-0,34750250;-8,71062900
-94,50095854;-0,34750250;-9,50264500
-94,49279854;-0,34750250;-8,71062900
-94,48463854;-0,34750250;-8,71062900
-94,47647854;-0,34750250;-8,71062900
-94,46831854;-0,33959770;-9,50264500
-94,46015854;-0,33959770;-8,31385200
-94,45199854;-0,33959770;-12,67070000
-94,44383854;-0,33959770;-14,64997000
-94,43567854;-0,33959770;-13,46118000
-94,42751854;-0,33959770;-13,46118000
-94,41935854;-0,33959770;-13,46118000
-94,41119854;-0,33959770;-12,67070000
-94,40303854;-0,33959770;-14,25320000
-94,39487854;-0,33959770;-13,46118000
-94,38671854;-0,33959770;-13,46118000
-94,37855854;-0,33169290;-13,46118000
-94,37039854;-0,33169290;-14,64997000
-94,36223854;-0,33169290;-15,04521000
-94,35407854;-0,33169290;-15,44199000
-94,34591854;-0,33169290;-15,83723000
-94,33775854;-0,33169290;-15,83723000
-94,32959854;-0,33169290;-15,83723000
-94,32143854;-0,33169290;-15,04521000
-94,31327854;-0,33169290;-15,04521000
-94,30511854;-0,33169290;-15,44199000
-94,29695854;-0,32378810;-15,04521000
-94,28879854;-0,32378810;-15,83723000
-94,28063854;-0,32378810;-17,02602000
-94,27247854;-0,32378810;-16,62924000
-94,26431854;-0,32378810;-17,02602000
-94,25615854;-0,32378810;-17,02602000
-94,24799854;-0,32378810;-17,42126000
-94,23983854;-0,32378810;-16,62924000
-94,23167854;-0,32378810;-17,81804000
-94,22351854;-0,32378810;-16,62924000
-94,21535854;-0,31588340;-16,62924000
-94,20719854;-0,31588340;-16,62924000
-94,19903854;-0,31588340;-15,83723000
-94,19087854;-0,31588340;-16,62924000
-94,18271854;-0,31588340;-14,64997000
-94,17455854;-0,31588340;-15,83723000
-94,16639854;-0,31588340;-17,02602000
-94,15823854;-0,31588340;-16,23400000
-94,15007854;-0,31588340;-17,02602000
-94,14191854;-0,31588340;-16,62924000
-94,13375854;-0,31588340;-16,23400000
-94,12559854;-0,30800940;-16,23400000
-94,11743854;-0,30800940;-15,44199000
-94,10927854;-0,30800940;-14,64997000
-94,10111854;-0,30800940;-14,64997000
-94,09295853;-0,30800940;-14,25320000
-94,08479853;-0,30800940;-14,64997000
-94,07663853;-0,30800940;-15,04521000
-94,06847853;-0,30800940;-14,25320000
-94,06031853;-0,30800940;-14,64997000
-94,05215853;-0,30800940;-15,04521000
-94,04399853;-0,30800940;-13,46118000
-94,03583853;-0,30800940;-13,46118000
-94,02767853;-0,30010460;-12,27393000
-94,01951853;-0,30010460;-12,27393000
-94,01135853;-0,30800940;-12,27393000
-94,00319853;-0,30800940;-12,67070000
-93,99503853;-0,30010460;-12,27393000
-93,98687853;-0,30010460;-11,48191000
-93,97871853;-0,30010460;-12,27393000
-93,97055853;-0,30010460;-12,27393000
-93,96239853;-0,30010460;-11,87869000
-93,95423853;-0,30010460;-9,89788300
-93,94607853;-0,29219980;-7,91861400
-93,93791853;-0,29219980;-7,52183800
-93,92975853;-0,29219980;-6,72982200
-93,92159853;-0,29219980;-7,12659900
-93,91343853;-0,29219980;-7,12659900
-93,90527853;-0,29219980;-6,72982200
-93,89711853;-0,29219980;-7,52183800
