Time;Channel A;Channel B
(ms);(V);(mV)

-23,85100722;-0,11844860;-13,46118000
-23,84895922;-0,11844860;-13,85796000
-23,84691122;-0,11844860;-13,46118000
-23,84486322;-0,11844860;-13,85796000
-23,84281522;-0,11844860;-13,46118000
-23,84076722;-0,11844860;-13,46118000
-23,83871922;-0,11844860;-13,85796000
-23,83667122;-0,11844860;-13,46118000
-23,83462322;-0,11844860;-15,04521000
-23,83257522;-0,11844860;-14,64997000
-23,83052722;-0,11054380;-14,25320000
-23,82847922;-0,11054380;-13,46118000
-23,82643122;-0,11054380;-13,85796000
-23,82438322;-0,11844860;-13,85796000
-23,82233522;-0,11054380;-13,85796000
-23,82028722;-0,11054380;-13,06594000
-23,81823922;-0,11054380;-13,46118000
-23,81619122;-0,11054380;-13,46118000
-23,81414322;-0,11054380;-13,46118000
-23,81209522;-0,11054380;-13,85796000
-23,81004722;-0,11054380;-13,46118000
-23,80799922;-0,11054380;-13,06594000
-23,80595122;-0,11054380;-13,06594000
-23,80390322;-0,11054380;-12,67070000
-23,80185522;-0,11054380;-12,27393000
-23,79980722;-0,11054380;-12,27393000
-23,79775922;-0,11054380;-12,27393000
-23,79571122;-0,11054380;-11,87869000
-23,79366322;-0,11054380;-11,87869000
-23,79161522;-0,11054380;-12,27393000
-23,78956722;-0,11054380;-12,27393000
-23,78751922;-0,11054380;-11,87869000
-23,78547122;-0,11054380;-12,67070000
-23,78342323;-0,11054380;-12,67070000
-23,78137523;-0,11054380;-12,67070000
-23,77932723;-0,11054380;-12,67070000
-23,77727923;-0,11054380;-12,27393000
-23,77523123;-0,11054380;-12,67070000
-23,77318323;-0,11054380;-12,27393000
-23,77113523;-0,11054380;-12,27393000
-23,76908723;-0,11054380;-11,48191000
-23,76703923;-0,11054380;-12,27393000
-23,76499123;-0,11054380;-11,87869000
-23,76294323;-0,11054380;-12,27393000
-23,76089523;-0,11054380;-11,87869000
-23,75884723;-0,11054380;-11,48191000
-23,75679923;-0,10266980;-11,87869000
-23,75475123;-0,11054380;-11,87869000
-23,75270323;-0,11054380;-13,46118000
-23,75065523;-0,11054380;-11,48191000
-23,74860723;-0,10266980;-11,08667000
-23,74655923;-0,11054380;-12,27393000
-23,74451123;-0,11054380;-11,87869000
-23,74246323;-0,11054380;-11,48191000
-23,74041523;-0,11054380;-11,87869000
-23,73836723;-0,10266980;-11,08667000
-23,73631923;-0,10266980;-11,87869000
-23,73427123;-0,10266980;-11,87869000
-23,73222323;-0,10266980;-11,87869000
-23,73017523;-0,10266980;-11,08667000
-23,72812723;-0,10266980;-11,08667000
-23,72607923;-0,10266980;-10,68990000
-23,72403123;-0,10266980;-11,08667000
-23,72198323;-0,10266980;-10,68990000
-23,71993523;-0,10266980;-11,08667000
-23,71788723;-0,10266980;-10,68990000
-23,71583923;-0,11054380;-10,29466000
-23,71379123;-0,10266980;-10,68990000
-23,71174323;-0,10266980;-10,68990000
-23,70969523;-0,10266980;-11,08667000
-23,70764723;-0,10266980;-10,68990000
-23,70559923;-0,10266980;-11,08667000
-23,70355123;-0,10266980;-10,68990000
-23,70150323;-0,10266980;-10,29466000
-23,69945523;-0,10266980;-10,29466000
-23,69740723;-0,10266980;-10,29466000
-23,69535923;-0,10266980;-10,68990000
-23,69331123;-0,10266980;-11,08667000
-23,69126323;-0,10266980;-10,68990000
-23,68921523;-0,10266980;-10,68990000
-23,68716723;-0,10266980;-10,29466000
-23,68511923;-0,10266980;-10,29466000
-23,68307123;-0,10266980;-10,29466000
-23,68102323;-0,10266980;-10,29466000
-23,67897523;-0,10266980;-10,29466000
-23,67692723;-0,10266980;-10,29466000
-23,67487923;-0,10266980;-9,89788300
-23,67283123;-0,10266980;-9,89788300
-23,67078323;-0,10266980;-10,29466000
-23,66873523;-0,10266980;-10,29466000
-23,66668723;-0,10266980;-10,29466000
-23,66463923;-0,10266980;-10,29466000
-23,66259123;-0,09476501;-10,29466000
-23,66054323;-0,09476501;-10,29466000
-23,65849523;-0,10266980;-10,29466000
-23,65644723;-0,09476501;-10,29466000
-23,65439923;-0,10266980;-10,29466000
-23,65235123;-0,09476501;-10,29466000
-23,65030323;-0,10266980;-10,68990000
-23,64825523;-0,09476501;-9,89788300
-23,64620723;-0,09476501;-9,89788300
-23,64415923;-0,09476501;-9,50264500
-23,64211123;-0,09476501;-8,71062900
-23,64006323;-0,09476501;-8,31385200
-23,63801523;-0,09476501;-8,31385200
-23,63596723;-0,09476501;-7,91861400
-23,63391923;-0,09476501;-7,91861400
-23,63187123;-0,09476501;-8,31385200
-23,62982323;-0,09476501;-8,31385200
-23,62777523;-0,09476501;-7,91861400
-23,62572723;-0,09476501;-8,31385200
-23,62367923;-0,09476501;-7,91861400
-23,62163123;-0,09476501;-8,31385200
-23,61958323;-0,09476501;-8,31385200
-23,61753523;-0,09476501;-7,91861400
-23,61548723;-0,09476501;-7,91861400
-23,61343923;-0,09476501;-8,31385200
-23,61139123;-0,09476501;-7,91861400
-23,60934323;-0,09476501;-8,31385200
-23,60729523;-0,09476501;-8,31385200
-23,60524723;-0,09476501;-8,31385200
-23,60319923;-0,09476501;-8,31385200
-23,60115123;-0,09476501;-7,91861400
-23,59910323;-0,09476501;-7,91861400
-23,59705523;-0,09476501;-7,91861400
-23,59500723;-0,09476501;-8,31385200
-23,59295923;-0,09476501;-8,31385200
-23,59091123;-0,09476501;-7,91861400
-23,58886323;-0,09476501;-7,91861400
-23,58681523;-0,09476501;-7,91861400
-23,58476723;-0,09476501;-8,31385200
-23,58271923;-0,09476501;-7,52183800
-23,58067123;-0,09476501;-8,31385200
-23,57862323;-0,09476501;-7,91861400
-23,57657523;-0,09476501;-7,52183800
-23,57452723;-0,09476501;-7,12659900
-23,57247923;-0,09476501;-8,31385200
-23,57043123;-0,09476501;-7,91861400
-23,56838323;-0,09476501;-8,31385200
-23,56633523;-0,09476501;-7,91861400
-23,56428723;-0,09476501;-7,52183800
-23,56223923;-0,09476501;-7,12659900
-23,56019123;-0,09476501;-6,72982200
-23,55814323;-0,08686024;-5,93934500
-23,55609523;-0,09476501;-5,93934500
-23,55404723;-0,08686024;-5,14733000
-23,55199923;-0,08686024;-5,54256900
-23,54995123;-0,09476501;-5,54256900
-23,54790323;-0,09476501;-5,54256900
-23,54585523;-0,09476501;-5,54256900
-23,54380723;-0,09476501;-5,93934500
-23,54175923;-0,08686024;-5,93934500
-23,53971123;-0,09476501;-6,33458400
-23,53766323;-0,09476501;-5,93934500
-23,53561523;-0,09476501;-5,93934500
-23,53356723;-0,09476501;-6,33458400
-23,53151923;-0,09476501;-5,93934500
-23,52947123;-0,08686024;-5,93934500
-23,52742323;-0,08686024;-6,33458400
-23,52537523;-0,08686024;-6,33458400
-23,52332723;-0,08686024;-5,93934500
-23,52127923;-0,08686024;-5,93934500
-23,51923123;-0,08686024;-5,93934500
-23,51718323;-0,09476501;-6,33458400
-23,51513523;-0,09476501;-5,93934500
-23,51308723;-0,08686024;-6,72982200
-23,51103923;-0,09476501;-6,72982200
-23,50899123;-0,08686024;-6,33458400
-23,50694323;-0,08686024;-5,54256900
-23,50489523;-0,08686024;-5,93934500
-23,50284723;-0,08686024;-6,33458400
-23,50079923;-0,08686024;-5,93934500
-23,49875123;-0,08686024;-5,93934500
-23,49670323;-0,08686024;-5,93934500
-23,49465523;-0,08686024;-6,33458400
-23,49260723;-0,07895546;-5,93934500
-23,49055923;-0,08686024;-6,33458400
-23,48851123;-0,08686024;-6,33458400
-23,48646323;-0,08686024;-6,33458400
-23,48441523;-0,07895546;-3,95853800
-23,48236723;-0,08686024;-6,33458400
