Frequency;Channel C
(MHz);(dBV)

0,00000000;-47,80024000
0,00023842;-50,76292000
0,00047684;-58,74775000
0,00071526;-68,02427000
0,00095367;-68,48038000
0,00119209;-68,63486000
0,00143051;-68,68425000
0,00166893;-68,84136000
0,00190735;-68,67866000
0,00214577;-68,75491000
0,00238419;-68,85690000
0,00262260;-68,84259000
0,00286102;-68,71738000
0,00309944;-68,70916000
0,00333786;-68,83582000
0,00357628;-68,87961000
0,00381470;-68,80864000
0,00405312;-68,64972000
0,00429153;-68,55507000
0,00452995;-68,73103000
0,00476837;-68,62234000
0,00500679;-68,69722000
0,00524521;-68,83334000
0,00548363;-68,85198000
0,00572205;-68,69884000
0,00596046;-68,63496000
0,00619888;-68,58765000
0,00643730;-68,66501000
0,00667572;-68,69017000
0,00691414;-68,58657000
0,00715256;-68,33267000
0,00739098;-68,52297000
0,00762939;-68,68089000
0,00786781;-68,58720000
0,00810623;-68,39802000
0,00834465;-68,27629000
0,00858307;-68,50954000
0,00882149;-68,92714000
0,00905991;-68,83817000
0,00929832;-68,61655000
0,00953674;-68,45254000
0,00977516;-68,47789000
0,01001358;-68,57697000
0,01025200;-68,56071000
0,01049042;-68,71667000
0,01072884;-68,71765000
0,01096725;-68,80827000
0,01120567;-68,90520000
0,01144409;-68,80537000
0,01168251;-68,77602000
0,01192093;-68,73419000
0,01215935;-69,00367000
0,01239777;-68,69273000
0,01263618;-68,74700000
0,01287460;-68,49161000
0,01311302;-68,30502000
0,01335144;-68,60971000
0,01358986;-68,72079000
0,01382828;-68,66662000
0,01406670;-68,89752000
0,01430511;-68,80996000
0,01454353;-68,54493000
0,01478195;-68,52055000
0,01502037;-68,64973000
0,01525879;-68,61272000
0,01549721;-68,76225000
0,01573563;-68,94516000
0,01597404;-68,86435000
0,01621246;-68,57831000
0,01645088;-68,70901000
0,01668930;-68,69947000
0,01692772;-68,62184000
0,01716614;-68,39290000
0,01740456;-68,60243000
0,01764297;-68,72263000
0,01788139;-68,70262000
0,01811981;-68,40807000
0,01835823;-68,38842000
0,01859665;-68,74233000
0,01883507;-68,84261000
0,01907349;-68,75771000
0,01931190;-68,81178000
0,01955032;-68,68961000
0,01978874;-68,59592000
0,02002716;-68,75596000
0,02026558;-68,94252000
0,02050400;-68,65565000
0,02074242;-68,64899000
0,02098083;-68,96786000
0,02121925;-68,91373000
0,02145767;-68,94513000
0,02169609;-69,09292000
0,02193451;-69,07725000
0,02217293;-68,81161000
0,02241135;-68,59909000
0,02264977;-68,58625000
0,02288818;-68,72240000
0,02312660;-68,92319000
0,02336502;-68,92481000
0,02360344;-68,67200000
0,02384186;-68,57367000
0,02408028;-68,78281000
0,02431870;-68,76282000
0,02455711;-68,66314000
0,02479553;-68,58716000
0,02503395;-68,80450000
0,02527237;-68,52364000
0,02551079;-68,60110000
0,02574921;-68,70711000
0,02598763;-68,75887000
0,02622604;-68,72594000
0,02646446;-68,67606000
0,02670288;-68,54462000
0,02694130;-68,41173000
0,02717972;-68,20941000
0,02741814;-68,34648000
0,02765656;-68,62692000
0,02789497;-68,79906000
0,02813339;-68,80273000
0,02837181;-68,78431000
0,02861023;-68,74314000
